epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.087,1.28906,2.56736,1.80546,0.00327,1,0.84759,0.54928,0.56318,2.9753,1.26452,0.00012,0.00012,0.00012
2,89.279,0.98362,1.93503,1.55508,0.00327,1,0.98364,0.51444,0.74834,2.91282,1.36697,0.000259972,0.000259972,0.000259972
3,132.847,0.84474,1.57154,1.43503,0.00327,1,0.9701,0.71279,0.56087,2.76056,1.20084,0.000399826,0.000399826,0.000399826
4,176.711,0.87433,1.30407,1.52744,0.00327,1,0.97422,0.44666,1.43269,3.067,2.04419,0.000539473,0.000539473,0.000539473
5,225.263,0.81335,1.30435,1.36729,0.00563,1,0.95906,0.56932,1.22581,2.87269,1.84562,0.000678819,0.000678819,0.000678819
6,268.925,0.80326,1.18677,1.30243,0.96735,0.90566,0.98718,0.82179,0.71694,1.91809,1.42994,0.000817776,0.000817776,0.000817776
7,312.239,0.87898,1.26625,1.434,0.98077,0.96206,0.99067,0.84203,0.6605,1.6443,1.30834,0.000956253,0.000956253,0.000956253
8,357.049,0.88328,1.29723,1.44486,0.98134,0.99259,0.99296,0.60688,1.27724,1.6716,2.33344,0.00109416,0.00109416,0.00109416
9,400.418,0.78629,1.10976,1.34386,0.97664,1,0.98778,0.66646,1.04596,1.68839,2.13344,0.0012314,0.0012314,0.0012314
10,442.954,0.82339,1.12854,1.36095,0.94406,0.95541,0.98612,0.76026,0.74843,1.8965,1.61545,0.0013679,0.0013679,0.0013679
11,486.328,0.84822,1.09905,1.44067,0.94047,1,0.99181,0.60105,1.18694,1.84776,2.25418,0.00150356,0.00150356,0.00150356
12,1101.48,0.93557,1.25506,1.46258,0.97465,1,0.99167,0.48843,1.56914,2.06306,3.41476,0.00163829,0.00163829,0.00163829
13,1145.89,1.03907,1.08379,1.52044,0.94597,0.99104,0.98044,0.75744,0.86837,1.47898,1.7015,0.00177201,0.00177201,0.00177201
